name,type,parent,size
pickle_converter.cpython-310.pyc,file,__pycache__,848
json_converter.cpython-310.pyc,file,__pycache__,886
csv_converter.cpython-310.pyc,file,__pycache__,959
__init__.cpython-310.pyc,file,__pycache__,254
__pycache__,directory,writing_to_files,2947
json_converter.py,file,writing_to_files,358
pickle_converter.py,file,writing_to_files,309
csv_converter.py,file,writing_to_files,448
__init__.py,file,writing_to_files,66
writing_to_files,directory,task_2,4128
path_converter_to_dictionary.cpython-310.pyc,file,__pycache__,1375
__pycache__,directory,task_2,1375
main.py,file,task_2,426
path_converter_to_dictionary.py,file,task_2,1172
task_2,directory,home_work_10,4154
task_1.py,file,home_work_10,2332
home_work_10,directory,Python_home_works,3930
home_work_2,file,origin,41
home_work_4,file,origin,41
home_work_10,file,origin,41
home_work_8,file,origin,41
home_work_3,file,origin,41
main,file,origin,41
HEAD,file,origin,30
home_work_1,file,origin,41
origin,directory,remotes,317
remotes,directory,refs,317
home_work_2,file,heads,41
home_work_5,file,heads,41
home_work_4,file,heads,41
home_work_10,file,heads,41
home_work_8,file,heads,41
home_work_3,file,heads,41
main,file,heads,41
home_work_1,file,heads,41
heads,directory,refs,328
tags,directory,refs,0
refs,directory,.git,328
exclude,file,info,240
info,directory,.git,240
ab1d7cde012a23ddac713d946babd27c81f9d3,file,73,194
c655bfc1501041ac4e6ec814983ad1e552d827,file,73,92
73,directory,objects,286
a6a6ba6ac0875f178dc9c0f0d7654e7e89aeea,file,29,54
29,directory,objects,54
4ee77d916a1cfa259d6b97c3e8786b29b9f1e3,file,55,220
bc14e8614da87d93f643b0f568b936a910e9b7,file,55,168
55,directory,objects,388
15b1cc40eb01bf9e7e50bb743e74f1c4553a6b,file,1c,262
1c,directory,objects,262
64de335574ba9778ee32538cce89e2bb9eb9c0,file,85,3372
85,directory,objects,3372
d93ec7cd2d68495a21564b4a077746d28cf4ef,file,8f,426
8f,directory,objects,426
08bb44bcfe17aa153e0a7ef2101ead0401cb3d,file,28,24
fa7facd988de91e8d7c373999b7811bc32a5d3,file,28,171
28,directory,objects,195
3764d27699e26dad33cf9d229096dd0ac6f3c4,file,70,174
76c3438492452cbee075057944aac741e0ba4f,file,70,138
70,directory,objects,312
9aed9598ea527090ed580ae7f57f121d83bd20,file,db,249
db,directory,objects,249
97871f142510d0a04e3db380ce52034740bbe3,file,ed,93
ed,directory,objects,93
4dfc2fa5f3f76b21b0ede9877dcd66e16111b3,file,e7,4162
2c7fde670452bded5cc050122fb7f3dcd2bc2a,file,e7,212
e7,directory,objects,4374
f8dab0a9609a426f01afd86f25ad7e0fce5483,file,9d,1042
67bec020f52f691ceb53c5a47b87c8e33118b2,file,9d,438
9d,directory,objects,1480
cdef000a19261d892e671c72bb6defd639beaa,file,9e,626
9e,directory,objects,626
925075b75f02d9ad62c54c5d7d621ec3db83ad,file,a6,118
d08c90ccde554290327b636017594109b1f9fa,file,a6,802
a6,directory,objects,920
5f727b428cb022f8f3ab6d11872dd8f3f09380,file,fb,92
fb,directory,objects,92
f755e3580ce2f1552c62e05b4ad2c136876e10,file,a5,381
a5,directory,objects,381
8c6c1c40487aa7e8c202e87c9086af1c0e12c3,file,eb,18
eb,directory,objects,18
9c00b48bd39383029cfe3c65750d39169308e9,file,0e,664
0e,directory,objects,664
d6dc460e7219db137a9cb7f8d4e6acf7f23958,file,3e,306
3e,directory,objects,306
info,directory,objects,0
e0d72292d382ec7380386223b601226ac6a1ee,file,42,118
d804251f1ae0b2cc9fc4a1457cdeb546b8c81e,file,42,182
42,directory,objects,300
0d9dd81b1b1515753c7b5c10b3fd3fa3050083,file,c5,187
c5,directory,objects,187
36b25898256fa2ca64af07920ed057e30bd772,file,df,182
df,directory,objects,182
6e3e3ac97893ba06d0d38383f33987aa03ccff,file,e9,631
e9,directory,objects,631
216c5811bde2596cb66b35acab20f8fed0e3e9,file,c1,268
c1,directory,objects,268
01f57feaaaf5e670d3861f10f9557f051cecd5,file,cd,169
81996cf0fcb91049a701320a59fbd33cdedd2b,file,cd,625
cd,directory,objects,794
3c3b1b9f50c40341d3d1180aac4186c042e4c5,file,0c,474
0c,directory,objects,474
60124dd1a5b411845882bd8790263e26144438,file,13,156
13,directory,objects,156
1b2af84439d014f02c3671cb328313d1b3592e,file,04,346
04,directory,objects,346
965c2e5a407b18e645ddd6f627ca6015bad799,file,32,167
32,directory,objects,167
76368848110b865ad27978664161d97514b02a,file,c9,204
c9,directory,objects,204
fe1520720adda984b1c98445b215257f759381,file,60,297
60,directory,objects,297
011ea65b23af029db2c38655af7f050b24cc16,file,1d,92
1d,directory,objects,92
c627542c03cbb1e1ade26e263ec6d2244c7d4d,file,d0,61
d0,directory,objects,61
500c2adedc2e9b857113a0a792e452e989f134,file,e2,603
e2,directory,objects,603
aa3bc1d2e4154163544208733291c799d4d9f0,file,e5,239
bdd7517fc0f129bf66384e156da9c389791b55,file,e5,308
e5,directory,objects,547
478374e3febc3924256a71aea70e9aed13c2bc,file,01,186
01,directory,objects,186
1bfd9cf0c3653c1618fdc4535015cf2aac290d,file,80,107
80,directory,objects,107
df0619957e45cf25b8b8517949261042ea9691,file,a2,336
a2,directory,objects,336
e745f8214ecef56769019140ada9fc5700900a,file,99,735
99,directory,objects,735
bdbac6de66320aa43efcf0581c772d9486a7f1,file,6b,118
6b,directory,objects,118
4431361cf08de71ed44ccddd8c6f22e196ee72,file,a0,118
a0,directory,objects,118
55cf9b243f71cca0ff85b98768102a53ab44de,file,03,261
03,directory,objects,261
8df0466527f37585a1cdb17f2ce4cfdf13c657,file,26,609
26,directory,objects,609
83c0dcf4759f0570b3b6d91026627492793d55,file,11,69
a366ea0650f8a759643261b796387c779b20a5,file,11,118
11,directory,objects,187
5aebb8ed7830bc004363f3336b9819194c8396,file,3b,448
3b,directory,objects,448
1b251ea3ecb7ad9764213c2c6ed3b010ed224e,file,a3,203
a3,directory,objects,203
6fd1358c0d3174babcfa94865fbba3dca0182e,file,9f,54
9f,directory,objects,54
f0cadd2f97e3620343fc848619d631e63bb51d,file,d9,156
5dbc623e9eefa13f865107db1ac39c6e9bf8ca,file,d9,167
d9,directory,objects,323
779f52fcd3c0fc64fcb5808a3446c50dd03bf8,file,c3,271
1b9c3175daffeb557b43ec61eb87122fe2e6b5,file,c3,278
46f6682a532b2e7d194f8d465b4f862eba6a99,file,c3,373
c3,directory,objects,922
d88d6d04672c9654e7b5cf77f3e8e53294dc75,file,ec,1081
8b49ca203ad284b649c02aa86649ca8b0e93e3,file,ec,92
ec,directory,objts,1173
4c50098bdacf3756f951fff619ee61b420bad1,file,d8,166
d8,directory,objects,166
7fabfe7fdcfa418a51b9e2ab62dc24f2683074,file,aa,4886
aa,directory,objects,4886
7c61cbd790aa89147cdba2110fab6fa378ef9e,file,dd,159
dd,directory,objects,159
549c1de6564d211f9df5bedfa0058c5d8a2ad2,file,cf,396
cf,directory,objects,396
f86b4d6fb8f4b80a73ba087156572decdd01db,file,ae,261
ae,directory,objects,261
66b786065162d91c0ec70385458e3130e03d80,file,e3,422
e3,directory,objects,422
38096c6a52601f1e35cf343b1c1b6dfd0226d8,file,8a,92
8a,directory,objects,92
c451b203c482e3028db69c8ec83f5c7139efd1,file,84,972
84,directory,objects,972
88c7516346bf12723e8b133b24527128d27e0a,file,c7,623
c7,directory,objects,623
9a2f44c11a83d98a7e18c40df578861390e796,file,23,258
23,directory,objects,258
809edf28f91c77c5ff7585d879dd7d72fd9bea,file,6a,268
6a,directory,objects,268
218ca89de3177908b9d3f9597cbb948c42a7c9,file,33,22
33,directory,objects,22
68bd9b20ddfc2e2e60ae16610cb53caf5523e2,file,7b,227
efa7b894c508d4a4dd32c1c3b24c099c9ca5e8,file,7b,146
7b,directory,objects,373
92a5dbce503b2fef5a22f77256f863c64c188e,file,5c,143
6ab642703ff33a9f5dc2d010f998e89056d497,file,5c,164
5c,directory,objects,307
42b974156e024e2ca9a7fa358a01d4f988d721,file,38,375
38,directory,objects,375
1149bf432d9e41a0328fa063cd7c6d1922b4a4,file,f7,242
f7,directory,objects,242
be38eb1fd87b12678033e43ae566b1f32b96f4,file,b1,184
b1,directory,objects,184
e1fed17bf888aaf2654dabd6ff0af28540ab8b,file,53,660
53,directory,objects,660
141b6dc25c3fea846461f022e246f0f8271504,file,de,622
31386ef60b2214302432c6fd0537b032fa71de,file,de,80
de,directory,objects,702
9de29bb2d1d6434b8b29ae775ad8c2e48c5391,file,e6,15
e6,directory,objects,15
012e118fc76077720334bb8ea53b4f22ce5afb,file,a4,624
a4,directory,objects,624
452c2c03d0daa6d3c2f06674e829d9b98af887,file,88,92
88,directory,objects,92
689d0cd347f40d1837e771bd43760289cfa2bd,file,d5,92
d5,directory,objects,92
b65d4c12a9389aabd8dbc305d62b52771ab2c4,file,f1,189
f1,directory,objects,189
ab10a9c594482dac843122d9ad1289e1b34a40,file,fd,420
fd,directory,objects,420
0a36699ade7c21259a1de3446687eb56cedf77,file,9a,307
9a,directory,objects,307
b02930e620ec5713164f46b69ac33d6267fcb6,file,ca,434
ca,directory,objects,434
0e92eba5de48ef5e5e4f4807e3996f3bb7f51e,file,83,168
83,directory,objects,168
982bfb359fae2345153de141d099f7c8abab8c,file,08,5214
08,directory,objects,5214
pack-8e6759669a5d4ded1068b967920b3702c3278125.pack,file,pack,624
pack-8e6759669a5d4ded1068b967920b3702c3278125.idx,file,pack,1156
pack,directory,objects,1780
996927ab4861c3ffdf8669e08fcca42a42ec88,file,3d,131
3d,directory,objects,131
afe69d8364a4dc1ac77735ec94ec9b834dec64,file,25,240
25,directory,objects,240
b77cc2eeb358dfd7cee8fbc9c4903fc1d5ebee,file,48,434
