INFO:root:Fri Jul 28 09:54:12 2023
INFO:root: объект - file_recorder.cpython-310.pyc, расширение файла - ['.cpython-310', '.pyc'], тип объекта - file, родитель - __pycache__
INFO:root: объект - path_converter_to_dictionary.cpython-310.pyc, расширение файла - ['.cpython-310', '.pyc'], тип объекта - file, родитель - __pycache__
INFO:root: объект - __pycache__, расширение файла - None, тип объекта - directory, родитель - __pycache__
INFO:root: объект - file_recorder.py, расширение файла - ['.py'], тип объекта - file, родитель - home_work_15
INFO:root: объект - main.py, расширение файла - ['.py'], тип объекта - file, родитель - home_work_15
INFO:root: объект - result.csv, расширение файла - ['.csv'], тип объекта - file, родитель - home_work_15
INFO:root: объект - path_converter_to_dictionary.py, расширение файла - ['.py'], тип объекта - file, родитель - home_work_15
INFO:root: объект - home_work_15, расширение файла - None, тип объекта - directory, родитель - home_work_15
INFO:root: объект - home_work_12, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - home_work_11, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - home_work_2, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - home_work_4, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - home_work_10, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - home_work_8, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - home_work_13, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - home_work_3, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - main, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - HEAD, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - home_work_1, расширение файла - [], тип объекта - file, родитель - origin
INFO:root: объект - origin, расширение файла - None, тип объекта - directory, родитель - origin
INFO:root: объект - remotes, расширение файла - None, тип объекта - directory, родитель - remotes
INFO:root: объект - home_work_12, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_11, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_2, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_5, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_4, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_10, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_8, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_13, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_3, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - main, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_15, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - home_work_1, расширение файла - [], тип объекта - file, родитель - heads
INFO:root: объект - heads, расширение файла - None, тип объекта - directory, родитель - heads
INFO:root: объект - tags, расширение файла - None, тип объекта - directory, родитель - tags
INFO:root: объект - refs, расширение файла - None, тип объекта - directory, родитель - refs
INFO:root: объект - exclude, расширение файла - [], тип объекта - file, родитель - info
INFO:root: объект - info, расширение файла - None, тип объекта - directory, родитель - info
INFO:root: объект - 0bb7a928a91a7c114ec3f876f3b5ecdc353273, расширение файла - [], тип объекта - file, родитель - 4b
INFO:root: объект - 4b, расширение файла - None, тип объекта - directory, родитель - 4b
INFO:root: объект - ab1d7cde012a23ddac713d946babd27c81f9d3, расширение файла - [], тип объекта - file, родитель - 73
INFO:root: объект - c655bfc1501041ac4e6ec814983ad1e552d827, расширение файла - [], тип объекта - file, родитель - 73
INFO:root: объект - 73, расширение файла - None, тип объекта - directory, родитель - 73
INFO:root: объект - a6a6ba6ac0875f178dc9c0f0d7654e7e89aeea, расширение файла - [], тип объекта - file, родитель - 29
INFO:root: объект - 29, расширение файла - None, тип объекта - directory, родитель - 29
